ItemId,Brand Name,ItemName,ItemPrice,Rating,ReviewDate,Product Count/Brand
B06X9HVVC5,Sony,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White,249.99,3.0,9-Jul-17,124
B06X9HVVC5,Sony,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White,249.99,3.0,31-Jul-17,124
B06X9HVVC5,Sony,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White,249.99,3.0,16-Jun-17,124
B06X9HVVC5,Sony,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White,249.99,3.0,25-Sep-17,124
B06X9HVVC5,Sony,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White,249.99,3.0,3-Jan-18,124
B06X9HVVC5,Sony,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White,249.99,3.0,21-Aug-17,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,9-Dec-17,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,27-Jun-18,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,1-Apr-18,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,12-Feb-18,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,8-Nov-17,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,25-Jul-17,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,23-Feb-18,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,25-Jul-17,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,15-Nov-17,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,22-Oct-17,124
B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",495.0,4.0,26-Jan-18,124
B07FKWT3JP,Sony,"Sony Xperia XA1 Plus G3423 LTE 5.5"" 32GB Factory Unlocked Smartphone International Model - (Gold)",179.99,4.0,1-Jun-19,124
B01LZXT34U,Samsung,Samsung Galaxy S6 Edge Plus SM-G928T 32GB for T-Mobile (Renewed),198.99,4.0,5-Dec-17,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,6-Dec-18,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,4-Aug-18,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,15-Apr-18,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,6-Jan-19,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,25-Aug-17,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,19-Jan-18,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,15-Aug-17,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,20-Jun-17,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,4-Oct-17,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,10-Feb-18,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,19-Dec-17,574
B01NB1KG8U,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),207.99,4.0,30-Jan-18,574
B06XYKR7GP,Samsung,Samsung Galaxy S8+ 64GB GSM Unlocked Phone - International Version (Midnight Black),459.98,4.0,18-Jul-18,574
B06XYKR7GP,Samsung,Samsung Galaxy S8+ 64GB GSM Unlocked Phone - International Version (Midnight Black),459.98,4.0,6-Jul-17,574
B06XZRH5ZC,Samsung,Samsung Galaxy S8 64GB Unlocked Phone - International Version (Maple Gold),429.99,4.0,24-Aug-17,574
B06XZRH5ZC,Samsung,Samsung Galaxy S8 64GB Unlocked Phone - International Version (Maple Gold),429.99,4.0,22-May-19,574
B06XZRH5ZC,Samsung,Samsung Galaxy S8 64GB Unlocked Phone - International Version (Maple Gold),429.99,4.0,1-May-18,574
B06XZRH5ZC,Samsung,Samsung Galaxy S8 64GB Unlocked Phone - International Version (Maple Gold),429.99,4.0,20-Jul-17,574
B06Y15CB1T,Samsung,Samsung Galaxy S8 64GB GSM Unlocked Phone - US Version (Coral Blue),419.95,4.0,13-May-19,574
B071H9KKKF,Samsung,Samsung Galaxy S8 Plus (S8+) (SM-G955FD) 4GB RAM / 64GB ROM 6.2-Inch 12MP 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (MIDNIGHT BLACK),450.11,4.0,10-Oct-17,574
B071H9KKKF,Samsung,Samsung Galaxy S8 Plus (S8+) (SM-G955FD) 4GB RAM / 64GB ROM 6.2-Inch 12MP 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (MIDNIGHT BLACK),450.11,4.0,21-Apr-19,574
B071H9KKKF,Samsung,Samsung Galaxy S8 Plus (S8+) (SM-G955FD) 4GB RAM / 64GB ROM 6.2-Inch 12MP 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (MIDNIGHT BLACK),450.11,4.0,20-Jul-17,574
